Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
85000	-96.63509	-121.3963	24.76124	10	0.8185484	0.100925	0.0236764	0.0652258	0.0185233	0.0805477	0.0927495	0.240498	0.0483805	0.220252	0.0678024	0.241485	0.0994991	0.414496	0.961965	2.52404	5	1.200065
86000	-95.63182	-122.6565	27.0247	10	0.6067123	0.00454905	0.0368	0.138414	0.0323713	0.0099864	0.0272567	0.453832	0.272842	0.452992	0.0602913	0.0036381	0.0544954	0.315983	0.884705	2.74482	5	1.492973
87000	-105.2617	-124.1192	18.85752	1	0.05160041	0.026419	0.00924983	0.0014025	0.0556501	0.0244448	0.032897	0.197058	0.137042	0.111235	0.168509	0.215637	1.19595e-12	1.63159e-06	0.00633368	3.99366	3	0.9795443
88000	-101.9559	-121.8548	19.89883	2	0.3446137	0.0331934	0.0261969	0.0129268	0.0291803	0.0467343	0.00464815	0.0200563	0.161028	0.229753	0.0197134	0.565003	0.00960062	0.139362	0.663656	3.18738	4	1.148433
89000	-97.86421	-125.5217	27.65747	10	0.6611657	0.10099	0.0186252	0.00566579	0.155274	0.0799803	0.105985	0.114276	0.182324	0.0329377	0.152967	0.16923	0.0659205	0.344616	0.909581	2.67988	5	1.118255
90000	-93.88877	-123.8006	29.91185	10	0.4299371	0.0201415	0.0427916	0.0378162	0.151134	0.00108543	0.129274	0.291582	0.0531217	0.220341	0.0496328	0.263495	0.0212596	0.203744	0.761745	3.01325	5	1.260415
91000	-107.7133	-127.1563	19.44296	2	0.9598	0.0554096	0.0144674	0.0251633	0.192934	0.0129251	0.0523597	0.251935	0.217502	0.0437213	0.0282123	0.0667875	0.128865	0.464326	0.993006	2.4138	4	0.9614173
92000	-90.00959	-123.812	33.8024	10	0.2650531	0.0128905	0.136525	0.0480399	0.0146574	0.0503981	0.0346193	0.174723	0.268828	0.0725827	0.105623	0.117181	0.00288877	0.0777563	0.532174	3.38718	5	1.036068
93000	-88.32273	-122.6234	34.30067	10	0.1010546	0.0342214	0.00411129	0.0418364	0.0423788	0.0853109	0.0100349	0.0901073	0.240351	0.125458	0.0242874	0.17273	6.08378e-07	0.00115875	0.0965974	3.90224	5	0.8708272
94000	-91.06703	-122.0336	30.96657	10	0.4426004	0.0997454	0.0248082	0.013354	0.0706003	0.0577869	0.0197545	0.157211	0.153997	0.255165	0.0310242	0.107384	0.0233091	0.212803	0.773552	2.99034	5	0.9908311
