Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
69000	-124.9817	-139.9893	15.00762	2	0.7183198	0.36029	0.0179314	0.00516405	0.0341674	0.00642889	0.0283986	0.000236211	0.00271135	0.0559977	0.0299525	0.0147454	0.0486449	0.310239	0.132565	0.056474	0.100325	0.219176	0.0781049	0.372047	0.931472	2.61838	4	1.423447
70000	-113.6901	-139.4538	25.76376	1000	1.102215	0.235281	0.166466	0.379728	0.000518347	0.0261058	0.0293776	0.0217244	0.00238786	0.0303677	0.109326	0.0156975	0.0148825	0.0960126	0.26977	0.202333	0.00156137	0.1115	0.156885	0.505457	1.01507	2.32259	6	1.713038
71000	-118.4048	-142.0752	23.67034	1000	0.847709	0.308417	0.121482	0.00418586	0.0498418	0.0386197	0.0632602	0.0970679	0.0463344	0.0180393	0.0842295	0.0664776	0.063549	0.0866412	0.30626	0.0744543	0.0152801	0.469703	0.105663	0.425656	0.969346	2.49934	6	1.913842
72000	-107.6722	-143.318	35.64579	1000	0.2970345	0.146102	0.0144904	0.0162334	8.68456e-05	0.0361173	0.0337329	0.00624596	0.032236	0.0607681	0.0519364	0.123338	0.192442	0.0468328	0.170008	0.00811439	0.00100496	0.0226825	0.00505784	0.10219	0.590789	3.30196	6	0.9623717
73000	-118.8747	-143.3511	24.47636	1000	0.4419477	0.151645	0.0585973	0.0539621	0.0697905	0.0143283	0.087404	0.0577138	0.0654853	0.0571247	0.0719166	0.00512507	0.0279041	0.00231605	0.269983	0.260498	0.0726393	0.733729	0.0232017	0.21234	0.772958	2.9915	6	2.060162
74000	-128.9706	-134.5422	5.571531	10	1.443793	0.644605	0.187228	0.0291356	0.0402679	0.0298469	0.0123046	0.010888	0.0394863	0.0470398	0.0858489	0.0526037	1.00593	0.0494754	0.0131718	0.0212272	0.104125	0.264679	0.216508	0.578925	1.04694	2.15762	5	2.637863
75000	-128.956	-140.4223	11.46623	10	1.163102	0.328302	0.0656863	0.111262	0.2818	0.00686346	0.0247734	0.0118673	0.0549267	0.0210785	0.0255137	0.361696	0.0216488	0.155036	0.116829	0.189241	0.133569	0.0724343	0.168303	0.520829	1.02252	2.28834	5	1.982528
76000	-111.8033	-143.3739	31.57062	1000	0.2624907	0.151355	0.0204009	0.0722271	0.0233271	0.0200598	0.0217299	0.0579153	0.0160012	0.16703	0.00449058	0.314537	0.0694633	0.0915833	0.239732	0.0109501	0.00190468	0.0829103	0.00274572	0.0758473	0.527097	3.39431	6	1.365618
77000	-117.2285	-140.927	23.69846	1000	2.867555	0.408354	0.05822	0.0889402	0.199556	0.0174681	0.0152409	0.0447289	0.00959888	0.0455356	0.121778	0.0546888	0.0948407	0.072897	0.0955121	0.441523	0.0482434	0.0545112	0.378749	0.723921	1.08178	1.81555	6	1.871637
78000	-119.3561	-139.0839	19.7278	1000	4.062138	0.300806	0.00713307	0.283585	0.0552332	0.0510681	0.0728439	0.037556	0.0320653	0.0295141	0.0396877	0.00439756	0.148653	0.18534	0.0306921	0.0766743	0.723418	0.00460322	0.457743	0.777331	1.08439	1.68054	6	2.08327
