Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
51000	-412.4749	-564.9087	152.4338	10	0.2343189	0.106876	0.0329549	0.0488949	0.0146231	0.0446376	0.0511343	0.0103452	0.021662	0.175169	0.393626	0.107018	0.013616	0.0138883	0.00294732	0.0692301	0.0162486	0.0290237	0.0556438	0.0290777	0.00242907	0.224194	0.0572041	0.0149622	0.12196	0.0136911	0.0406198	0.0588035	0.0014597	0.0556228	0.46723	3.47569	5	1.77048
52000	-429.6524	-556.6132	126.9608	10	0.7471977	0.309868	0.00600783	0.0484151	0.0407901	0.0960392	0.0897269	0.0325808	0.000890515	0.0320989	1.11532	0.0432595	0.0272124	0.012012	0.00727039	0.187764	0.0274185	0.0592878	0.028814	0.21967	0.00929885	0.0268775	0.0459712	0.681593	0.160297	0.128563	0.163677	0.489242	0.0842849	0.384974	0.941177	2.58956	5	4.089963
53000	-447.1482	-561.384	114.2358	10	1.944472	0.0270132	0.107343	0.129095	0.0313272	0.105268	0.112599	0.0339467	0.0214186	0.0775678	0.794354	0.128867	0.00924455	0.0557014	0.00115738	0.232503	0.0928702	0.0564271	0.0677353	0.105322	0.0746725	0.127683	0.427697	0.0260806	0.0884698	0.0419085	0.0845844	0.38991	0.286555	0.648976	1.06854	1.99593	5	3.450768
54000	-446.6874	-567.2993	120.6119	10	0.6220303	0.243031	0.113922	0.0856841	0.00681595	0.114948	0.0190126	0.00642634	0.0288605	0.233421	0.56493	0.0830804	0.000127686	0.017988	0.0456709	0.135105	0.0493235	0.0814838	0.0147868	0.038456	0.127805	0.012171	0.467749	0.208915	0.142312	0.104642	0.0430844	0.0687404	0.0576813	0.324298	0.892155	2.72587	5	3.058491
55000	-443.2474	-560.2592	117.0118	10	0.8906233	0.322263	0.0366612	0.133746	0.0357771	0.168115	0.021655	0.0135449	0.124053	0.362268	0.839655	0.109173	0.0546548	0.0439139	0.00419377	0.326585	0.274554	0.0541989	0.671446	0.0170932	0.0405899	0.0742019	0.142762	0.0270806	0.000324806	0.0542344	0.0252799	0.0553204	0.114647	0.441214	0.979216	2.46492	5	4.033346
56000	-428.9649	-563.2476	134.2827	10	0.252535	0.0531843	0.0647744	0.0338458	0.0468589	0.041359	0.0234853	0.0124478	0.0155869	0.20936	0.528168	0.0730193	0.0546189	0.0855644	0.0159924	0.143347	0.140979	0.00700757	0.277556	0.037422	0.0727873	0.00811728	0.0288938	0.0454632	0.101936	0.103426	0.0544605	0.0281471	0.00223201	0.0685267	0.506801	3.42244	5	2.307809
57000	-404.154	-556.257	152.1029	10	0.2989689	0.0241962	0.059316	0.0701149	0.0459992	0.141659	0.0441945	0.0228108	0.010308	0.0698088	0.298469	0.086545	0.00487236	0.00392344	0.0218902	0.115731	0.0174791	0.00136232	0.0444213	0.127715	0.00326294	0.0438504	0.0404825	0.00797822	0.0783091	0.0258265	0.149763	0.360554	0.00521204	0.103693	0.594067	3.29703	5	1.920843
58000	-432.9649	-566.4547	133.4898	10	0.4349992	0.214301	0.0804817	0.0543062	0.0404729	0.100134	0.0195427	0.0443385	0.00459491	0.0603444	0.532336	0.136045	0.0608388	0.00328237	0.00551615	0.108079	0.00701581	0.0941729	0.0461136	0.0343351	0.125681	0.0925126	0.00752068	0.00467211	0.131618	0.010148	0.0984462	0.192394	0.0220703	0.207383	0.766537	3.00401	5	2.309244
59000	-424.4267	-561.3435	136.9168	10	0.2665006	0.123677	0.0668785	0.0188903	0.0409133	0.10524	0.0436979	0.0113318	0.0252601	0.318729	0.744801	0.0621998	0.00758662	0.0120926	0.00202164	0.138888	0.0239717	0.0435005	0.04702	0.0322111	0.00975592	0.142828	0.0659822	0.0049131	0.0649255	0.102506	0.295649	0.0359818	0.00297157	0.0788388	0.535016	3.38317	5	2.591452
60000	-436.4506	-559.1224	122.6718	10	0.930098	0.387433	0.00194964	0.0342889	0.0815097	0.197535	5.35122e-05	0.0675381	0.0542185	0.257686	0.883444	0.0842931	0.0403239	0.0146953	0.00911055	0.297341	0.250157	0.0467273	0.00105808	0.0148554	0.106122	0.142953	0.119866	0.0327443	0.0369683	0.172871	0.042705	0.565236	0.122804	0.454683	0.987378	2.43513	5	3.943683
