Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
48000	-71.25515	-107.4352	36.18008	1	0.9939041	0.0817379	0.0804501	0.144796	0.413935	0.0819095	0.0776768	0.0485696	0.0170872	0.0498048	0.00117827	0.00386179	0.505959	0.0607009	0.0591294	0.194005	0.271101	0.0105097	0.578745	0.038707	0.135736	0.474912	0.998983	2.39037	3	2.719865
49000	-62.85833	-115.6551	52.7968	2	3.456924	0.0183535	0.168579	0.0311577	0.067585	0.185037	0.20339	0.0207838	0.0282737	0.072543	0.135336	0.0302776	0.177814	0.000442375	0.0384117	0.15475	0.0536324	0.143492	0.0146498	0.120238	0.421788	0.754053	1.084	1.74016	4	1.664747
50000	-60.90489	-109.7225	48.81757	2	0.2407748	0.0211552	0.00315046	0.029771	0.0578145	0.0518834	0.025798	0.0272294	0.0218061	0.0358374	0.000269839	0.0212841	0.0466823	0.098446	0.171776	0.374127	0.730848	0.0447371	0.196442	0.0260251	0.00170934	0.0601133	0.481623	3.45655	4	1.985083
51000	-57.92515	-110.3871	52.46191	2	0.3499864	0.0608015	0.0371183	0.16646	0.0683001	0.0245576	0.0184245	0.00425826	0.0603363	0.0595629	0.0200252	0.0889542	0.126428	0.0777226	0.0528303	0.163205	0.315076	0.0338446	0.192061	0.155777	0.010209	0.143545	0.670951	3.17529	4	1.725744
52000	-57.91441	-106.9443	49.02991	2	2.162885	0.218381	0.0293372	0.193775	0.0401031	0.037515	0.18147	0.0218777	0.00426804	0.165992	0.0249025	0.0386631	0.184375	0.0964999	0.0148792	0.285956	0.0801854	0.0810537	0.0744159	0.0161809	0.311973	0.671287	1.07358	1.94316	4	1.789831
53000	-56.27333	-107.8215	51.54819	2	0.6015342	0.265729	0.0616058	0.288174	0.0223497	0.0551495	0.0180206	0.00567668	0.000868954	0.0539052	0.0264032	0.0118938	0.176216	0.437804	0.0851855	0.0349239	0.168498	0.341029	0.0321043	0.0372184	0.0534246	0.313124	0.8821	2.75135	4	2.122757
54000	-22.21109	-105.6729	83.46176	10	1.75684	0.0757459	0.0109708	0.0895767	0.219042	0.026696	0.0164176	0.0199574	0.019874	0.0555233	0.00613016	0.134985	0.100433	0.0592808	0.0587908	0.00152937	0.160044	0.154381	0.0770227	0.312708	0.262414	0.626386	1.06252	2.04868	5	1.599107
55000	-30.82018	-112.8364	82.01626	10	1.155504	0.118818	0.100819	0.00531269	0.190148	0.0309106	0.105659	0.106393	0.0226454	0.0934128	0.029929	0.0269705	0.112886	0.170655	0.0419366	0.171091	0.1784	0.0917705	0.152231	0.021541	0.166897	0.518974	1.02165	2.29248	5	1.771531
56000	-31.62338	-108.1522	76.52885	10	0.5578126	0.132162	0.0208322	0.0926469	0.247627	0.0538924	0.0281805	0.0700682	0.00373024	0.0357873	0.0593838	0.0100375	0.0890254	0.125367	0.21226	0.0187177	0.0594142	0.455226	0.272186	0.15892	0.0445407	0.287992	0.858169	2.8093	5	2.145465
57000	-24.31022	-104.4878	80.17762	10	0.3745859	0.12894	0.0364533	0.023282	0.00193032	0.00445874	0.131483	0.014787	0.0163375	0.0684172	0.00958891	0.05008	0.162597	0.143909	0.151496	0.00865901	0.00487122	0.288341	0.109029	0.167498	0.0132252	0.162532	0.702247	3.122	5	1.522158
58000	-29.45409	-107.8577	78.40365	10	0.5053947	0.107062	0.00899489	0.313781	0.258325	0.0422324	0.0245714	0.0066629	0.0191014	0.0394067	0.0274903	0.104191	0.0655168	0.0225526	0.13274	0.366084	0.10237	0.00260381	0.0316659	0.181931	0.034392	0.255423	0.824154	2.88603	5	1.857283
59000	-33.19758	-108.9835	75.78596	10	0.935292	0.0666988	0.00965833	0.0994969	0.0266308	0.0350441	0.00638737	0.0250685	0.0506167	0.106756	0.0315803	0.0380607	0.0664902	0.0730976	0.232054	0.117832	0.101349	0.151167	0.0534361	0.142875	0.123869	0.456399	0.988392	2.43134	5	1.4343
60000	-33.85432	-108.9115	75.05718	10	0.2517546	0.148092	0.0186383	0.0391091	0.221719	0.0182837	0.109773	0.0349939	0.0408588	0.00036445	0.0339365	0.0940392	0.0340497	0.0105469	0.618816	0.00507816	0.358693	0.1544	0.277863	0.0062823	0.00219454	0.06796	0.505171	3.42467	5	2.225538
61000	-47.17487	-116.3665	69.19164	10	2.907974	0.242951	0.00141349	0.181374	0.0144008	0.00491848	0.389369	0.0740731	0.00961915	0.0261862	0.0594171	0.0236901	0.0923026	0.451161	0.0848596	0.0467626	0.202726	0.178014	0.366221	0.0980751	0.382015	0.726302	1.08202	1.80966	5	2.547534
62000	-29.96854	-109.9747	80.00612	10	0.5138458	0.0905259	0.00788694	0.0640821	0.0213256	0.0398393	0.0914971	0.0463069	0.0383922	0.00543355	0.00881979	0.00798841	0.204968	0.138082	0.0582017	0.155991	0.095952	0.113155	0.190658	0.0117135	0.0359818	0.260859	0.830087	2.87307	5	1.39082
63000	-32.38164	-110.1493	77.76765	10	0.4903452	0.164189	0.00034844	0.0167473	0.0897476	0.184021	0.18	0.0211246	0.0171892	0.166719	0.0393962	0.00824399	0.014602	0.120665	0.0714154	0.00110724	0.415	0.129451	0.0285491	0.0854201	0.0316125	0.245566	0.813114	2.90971	5	1.753935
64000	-32.91619	-115.8741	82.95793	10	0.637486	0.0767731	0.0682926	0.0594069	0.125426	0.0458332	0.0432644	0.110629	0.0652701	0.144075	0.00385207	0.102493	0.129572	0.268764	0.053208	0.224659	0.0449696	0.165557	0.0374758	0.0772515	0.0609202	0.332479	0.899301	2.7073	5	1.846771
65000	-30.46693	-105.3281	74.8612	10	1.049335	0.325617	0.194669	0.00375934	0.0319303	0.0395751	0.00568554	0.00445213	0.040879	0.013604	0.0491595	0.0731706	0.293454	0.0889253	0.244857	0.15335	0.617319	0.0961073	0.0705492	0.021741	0.146691	0.491094	1.00772	2.3545	5	2.368805
66000	-40.29718	-110.198	69.90085	10	1.032944	0.0304954	0.0188095	0.0325973	0.352361	0.0420721	0.17833	0.00688336	0.044371	0.0296436	0.0675877	0.102621	0.0304563	0.0918796	0.167367	0.108364	0.0604597	0.0230414	0.148822	0.29904	0.14348	0.486435	1.00525	2.36483	5	1.835202
67000	-35.36978	-107.8428	72.47298	10	0.4597316	0.229049	0.0217782	0.0209443	0.236596	0.198767	0.0144358	0.00474674	0.0154957	0.0416214	0.183409	0.0518515	0.132597	0.193957	0.066093	0.25547	0.0531639	0.293314	0.135777	0.072165	0.0261896	0.224817	0.788602	2.96039	5	2.221232
68000	-44.16095	-110.4378	66.2769	10	0.5010207	0.0924167	0.0241731	0.177282	0.0757229	0.0227647	0.225948	0.0204446	0.0148446	0.0264872	0.0415604	0.0659505	0.00502226	0.242913	0.598456	0.0600245	0.055655	0.507316	0.0563024	0.0479465	0.0335771	0.252582	0.82101	2.89283	5	2.361229
69000	-30.87801	-107.6748	76.79678	10	0.5173808	0.219685	0.13444	0.0497221	0.191704	0.0462839	0.0144781	0.012279	0.00403317	0.0183077	0.000674636	0.0447559	0.0527412	0.194053	0.0439047	0.318318	0.017063	0.104923	0.0669508	0.09455	0.0366527	0.263111	0.832514	2.86772	5	1.628867
70000	-31.88579	-107.128	75.24226	10	0.7284569	0.110233	0.0833107	0.0584037	0.43975	0.0951394	0.0443596	0.00663369	0.0191299	0.256189	0.0571735	0.00488404	0.0274593	0.299409	0.0344425	0.0503005	0.248999	0.0433073	0.205719	0.287384	0.0802741	0.376653	0.934974	2.6081	5	2.372227
71000	-34.97851	-109.9605	74.98198	10	0.9698087	0.275953	0.0698567	0.0591582	0.230996	0.0127937	0.0591153	0.12654	0.0188646	0.0796966	0.246454	0.00484148	0.229745	0.0152143	0.0544044	0.37999	0.503492	0.00140891	0.0191986	0.0579645	0.130891	0.467485	0.994812	2.40681	5	2.445687
72000	-37.33004	-109.7896	72.45955	10	0.9714488	0.0388072	0.0410909	0.100483	0.126796	0.00532377	0.293118	0.0197288	0.0112195	0.331979	0.043939	0.109175	0.164488	0.0861929	0.165266	0.000285801	0.187252	0.338116	0.00327859	0.127272	0.131222	0.467999	0.995103	2.40568	5	2.193812
73000	-29.28858	-105.6066	76.31805	10	0.6784934	0.221687	0.124047	0.00187097	0.106735	0.0655116	0.110385	0.0128967	0.0136291	0.0261152	0.00233293	0.0180169	0.102327	0.196378	0.0643961	0.0885403	0.0694172	0.14358	0.0385759	0.453511	0.0696016	0.353204	0.91663	2.66056	5	1.859954
74000	-19.86054	-105.7556	85.89509	10	0.3799516	0.177074	0.00806287	0.19013	0.119254	0.025765	0.0894113	0.0203369	0.0110315	0.0337613	0.0244018	0.0242644	0.0235162	0.0726009	0.0332222	0.194085	0.200285	0.100499	0.0444579	0.0678955	0.0139315	0.166628	0.708641	3.1108	5	1.460055
75000	-34.18031	-108.9463	74.76598	10	2.071284	0.131135	0.0050584	0.0154675	0.170554	0.0797984	0.0578482	0.121117	0.0333562	0.0513761	0.116792	0.000731324	0.0841868	0.073043	0.301768	0.0333285	0.315284	0.120775	0.272434	0.032676	0.301638	0.662386	1.07168	1.9643	5	2.016729
76000	-35.46146	-107.8155	72.35403	10	0.6096006	0.0814367	0.0516219	0.00730062	0.271116	0.0537152	0.184852	0.0369403	0.0322458	0.0908697	0.0305348	0.0229446	0.013309	0.627538	0.132354	0.00598268	0.142519	0.0133154	0.332682	0.0752783	0.055094	0.317567	0.886139	2.7412	5	2.206556
77000	-54.91441	-112.7822	57.86779	10	0.5406	0.241281	0.0715059	0.0798378	0.20289	0.0410273	0.0784636	0.0126093	0.135868	0.0999216	0.153313	0.00281756	0.14784	0.0585542	0.190879	0.295171	0.039745	0.168237	0.0392651	0.56836	0.0411375	0.277597	0.847701	2.83356	5	2.627586
78000	-37.80751	-111.6834	73.87591	10	0.8899037	0.075512	0.0363194	0.0572178	0.00334533	0.0367539	0.0631997	0.0835606	0.00069033	0.0149485	0.052195	0.0338492	0.12755	0.332273	0.0460276	0.256112	0.0455643	0.252138	0.0621096	0.247704	0.114498	0.440961	0.97906	2.46548	5	1.82707
