Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
64000	-29.78861	-52.07376	22.28516	10	1.865198	0.045756	0.00704013	0.0178155	0.00538789	0.051032	0.0208194	0.0127605	0.0169833	0.0642287	0.139372	0.0121005	0.0087166	0.118109	0.276634	0.639868	1.06622	2.01728	5	0.5201216
65000	-18.28892	-48.21258	29.92366	1000	2.340262	0.0873434	0.0537641	0.0155606	0.082745	0.0287881	0.0233016	0.00651749	0.0221843	0.0448776	0.00815498	0.495771	0.0752619	0.0500678	0.330769	0.686921	1.07656	1.90574	6	0.9943383
66000	-25.3441	-55.61575	30.27165	1000	0.4234285	0.0203102	0.0306225	0.00137884	0.0895478	0.00210906	0.0850908	0.0518388	0.0246766	0.0345008	0.292565	0.039481	0.042404	0.180644	0.0202343	0.19903	0.755437	3.0253	6	0.8951692
67000	-20.26703	-50.84406	30.57704	1000	2.075884	0.0695876	0.0523783	0.0811866	0.0429224	0.0236359	0.0109606	0.0826233	0.00594532	0.0226869	0.148921	0.2635	0.0681207	0.0237143	0.302168	0.662848	1.07178	1.96321	6	0.896183
68000	-42.19616	-51.64833	9.452175	10	1.037909	0.0922402	0.0276541	0.133239	0.119375	0.00980953	0.0718399	0.0207174	0.0216457	0.754817	0.167628	0.130443	0.0716562	0.271378	0.144455	0.487857	1.00601	2.36168	5	1.892443
69000	-40.51008	-57.37972	16.86965	2	1.342062	0.0649974	0.145435	0.0519381	0.0129755	0.0952508	0.012296	0.0158112	0.0452732	0.00851724	0.00657112	0.0333439	0.193097	0.0414597	0.199861	0.559967	1.03962	2.20055	4	0.7269658
70000	-36.49143	-50.65212	14.16069	1	1.65807	0.0652297	0.0320074	0.172923	0.0542183	0.0300759	0.0151126	0.00458993	0.00713955	0.0674656	0.0799049	0.282809	0.0162415	0.037278	0.248741	0.612914	1.0585	2.07985	3	0.8649957
71000	-38.70863	-54.84441	16.13578	1	3.25206	0.0180662	0.0282363	0.00686047	0.019248	0.00935893	0.068513	0.0143719	0.0257054	0.0169371	0.0931378	0.107327	0.0774807	0.0228451	0.407868	0.744593	1.08351	1.76403	3	0.5080879
72000	-46.79444	-59.86704	13.0726	2	0.4722053	0.0242394	0.293321	0.0934893	0.0124298	0.0169365	0.117301	0.00796155	0.0176443	0.217829	0.0115265	0.0262456	0.121539	0.222357	0.0283591	0.233384	0.798941	2.93932	4	1.182821
73000	-48.47707	-58.29285	9.815784	2	1.202999	0.125036	0.286655	0.00956235	0.238748	0.115235	0.0577362	0.0359435	0.0709459	0.00503262	0.361244	0.000919921	0.108269	0.0683919	0.175596	0.530288	1.0269	2.26721	4	1.483719
74000	-35.79905	-51.97746	16.17841	2	1.867061	0.10746	0.169653	0.00842022	0.0388626	0.0108229	0.00763453	0.0036402	0.0273932	0.113024	0.0563444	0.0396837	0.0535265	0.0758343	0.276872	0.640089	1.06628	2.01676	4	0.712299
75000	-41.68502	-60.44334	18.75832	10	0.4508946	0.0209945	0.0289268	0.0763638	0.00797521	0.234538	0.0595609	0.00117449	0.0357281	0.0164153	0.4545	0.0284832	0.0394797	0.00683701	0.0246888	0.218655	0.780966	2.97569	5	1.010977
76000	-33.87237	-49.28284	15.41047	10	1.742068	0.0702559	0.0210727	0.00432881	0.0770162	0.0394486	0.0318851	0.0331945	0.0354356	0.106482	0.0993182	0.205671	0.398437	0.0252052	0.260414	0.624447	1.06196	2.05318	5	1.14775
77000	-41.76224	-54.81763	13.05539	2	1.000869	0.0529275	0.0131425	0.0981765	0.105067	0.0750634	0.0493502	0.0560518	0.0204868	0.0711177	0.250219	0.0074814	0.0354746	0.270405	0.137127	0.477013	1.00014	2.38572	4	1.104963
78000	-31.47206	-54.77071	23.29864	0.2	0.7123494	0.0998112	0.016366	0.0172651	0.0638211	0.019109	0.0317728	0.0310309	0.00533424	0.0574519	0.232001	0.0572772	0.0676267	0.0293505	0.0768278	0.369299	0.92936	2.62451	2	0.7282177
79000	-27.28509	-53.12495	25.83986	1000	3.269824	0.0923837	0.0251413	0.0185311	0.0461118	0.0239501	0.0293972	0.0228883	0.090461	0.0162533	0.10721	0.039314	0.0830814	0.348751	0.409116	0.745452	1.08356	1.76187	6	0.9434738
80000	-24.7557	-51.24648	26.49078	1000	0.7012328	0.0210135	0.0466787	0.00039614	0.152805	0.0466396	0.0406864	0.0260895	0.0305682	0.0439892	0.129242	0.465777	0.123168	0.045389	0.0744516	0.364111	0.925324	2.63611	6	1.172443
81000	-20.193	-52.64144	32.44844	1000	1.462862	0.0264297	0.0571181	0.0219236	0.0199885	0.0846502	0.000333711	0.013945	0.0222767	0.00249649	0.0483199	0.103229	0.0903919	0.172671	0.219528	0.582256	1.04816	2.15005	6	0.6637739
82000	-17.56227	-49.92201	32.35974	1000	0.9881759	0.0432576	0.130269	0.0571571	0.0896199	0.0038652	0.00112749	0.0155849	0.00107262	0.0261285	0.0354482	0.0520024	0.225823	0.0652415	0.134589	0.473169	0.998013	2.39423	6	0.7465978
83000	-24.96782	-55.16051	30.19269	1000	1.358287	0.0549074	0.00192047	0.0190301	0.190514	0.0419142	0.0161431	0.0388135	0.0367751	0.0936279	0.197258	0.00378054	0.245547	0.0478722	0.202577	0.563133	1.04089	2.1934	6	0.9881033
84000	-22.06911	-51.0688	28.99969	1000	0.909411	0.0699894	0.0650289	0.00567965	0.0719535	0.0534433	0.0408218	0.0163603	0.0325627	0.251579	0.0680692	0.292184	0.0888877	0.0086939	0.118543	0.447721	0.983203	2.45053	6	1.065254
85000	-43.8632	-55.01831	11.15511	10	1.153553	0.022316	0.0781198	0.128766	0.1026	0.208029	0.0526552	0.0966466	0.0316855	0.0549751	0.0721299	0.204302	0.0565177	0.396748	0.166535	0.518496	1.02142	2.29355	5	1.50549
86000	-24.71308	-52.67161	27.95853	1000	1.293246	0.0399587	0.0799738	0.0216727	0.132835	0.013945	0.0100189	0.010869	0.0465996	0.360614	0.0509647	0.029252	0.0381548	0.00477881	0.191546	0.550087	1.03556	2.22281	6	0.839637
87000	-17.43526	-49.53019	32.09493	1000	1.455403	0.0524726	0.0657077	0.0736868	0.0286442	0.00761022	0.0227672	0.0205118	0.0155628	0.0967595	0.0294466	0.105935	0.079088	0.204686	0.21835	0.580961	1.04769	2.153	6	0.8028782
88000	-24.86376	-54.8554	29.99164	1000	0.8788754	0.0931187	0.0993275	0.0350428	0.0393601	0.00560397	0.0353228	0.0393491	0.0100307	0.332264	0.0884018	0.0144315	0.00663575	0.213477	0.112199	0.437053	0.976624	2.47412	6	1.012365
89000	-26.032	-53.81163	27.77963	1000	0.6132937	0.0374319	0.256117	0.0521667	0.00271868	0.0623251	0.024274	0.0403445	0.0390378	0.097301	0.0204518	0.0924472	0.407105	0.0188319	0.0558609	0.319581	0.887952	2.73661	6	1.150553
90000	-25.90198	-52.12801	26.22603	1000	0.9008237	0.258897	0.0403041	0.0115526	0.0485356	0.0304572	0.00347624	0.0263721	0.0264511	0.263828	0.122732	0.12635	0.00271024	0.364368	0.116766	0.444769	0.981405	2.45706	6	1.326035
91000	-34.53008	-50.64153	16.11145	2	1.426625	0.015516	0.0462695	0.116831	0.0135724	0.00711386	0.012381	0.00995884	0.00880565	0.00191298	0.0270989	0.137922	0.200172	0.253848	0.213762	0.575869	1.04581	2.16456	4	0.8514023
92000	-44.9712	-56.56439	11.59319	10	0.6742315	0.00889291	0.0294535	0.197733	0.178787	0.0304125	0.00378422	0.113788	0.123061	0.0287267	0.769712	0.0156024	0.0844584	0.0249463	0.0686948	0.351114	0.914932	2.66526	5	1.609359
93000	-48.19009	-57.43219	9.242106	1	0.5683444	0.0243721	0.0420646	0.0666839	0.115608	0.0527822	0.00104294	0.00569838	0.158914	0.744212	0.0202411	0.061596	0.00662893	0.165983	0.0466519	0.294211	0.864268	2.79487	3	1.465826
94000	-46.12135	-58.23484	12.11349	2	2.963412	0.0765721	0.0126535	0.0995757	0.0244525	0.0399125	0.0540044	0.0326589	0.00680749	0.0810583	0.126653	0.000455842	0.0729409	0.346454	0.386411	0.729482	1.08233	1.80178	4	0.9741996
95000	-35.4233	-54.62844	19.20513	10	0.5193351	0.0706003	0.0680475	0.00322191	0.0738535	0.00710285	0.0672069	0.0137444	0.0111852	0.134666	0.00227739	0.0959415	0.0350931	0.281509	0.037025	0.264351	0.833843	2.86478	5	0.8644497
96000	-39.06115	-56.25579	17.19464	1	1.160282	0.0152724	0.0279302	0.0169247	0.0185889	0.0483263	0.0276865	0.00437822	0.000362879	0.00345891	0.0247807	0.22059	0.063596	0.139484	0.167782	0.520143	1.0222	2.28988	3	0.6113796
97000	-31.97883	-53.36805	21.38922	1000	0.6032598	0.0802184	0.00968476	0.0682139	0.0850207	0.0762172	0.0830445	0.0903373	0.00533509	0.0172824	0.0471794	0.118336	0.0333152	0.632983	0.0537811	0.314079	0.882973	2.74917	6	1.347168
98000	-22.82654	-49.70097	26.87443	1000	1.598185	0.0264452	0.039913	0.0799611	0.08126	8.57623e-06	0.00250665	0.0268318	0.00847286	0.0032717	0.120724	0.0719698	0.511111	0.0170961	0.240099	0.604123	1.0557	2.10007	6	0.9895715
99000	-26.88974	-54.60911	27.71937	1000	0.3109112	0.0720163	0.00298141	0.125469	0.0428727	0.0864929	0.0227079	0.034139	0.00813952	0.0297343	0.161905	0.0418746	0.0630391	0.49073	0.00622207	0.113006	0.61368	3.26709	6	1.182101
100000	-41.62944	-53.62302	11.99358	10	0.9896023	0.0149753	0.0945251	0.101708	0.044373	0.0842879	0.179193	0.00651882	0.0459054	0.0173305	0.500465	0.446671	0.0983487	0.00491386	0.134875	0.473604	0.998256	2.39327	5	1.639216
