Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
84000	-17.39603	-51.44212	34.04609	10	0.009503518	0.0515342	0.0982063	0.217494	0.0174085	0.0426934	0.12428	0.0286461	0.0649546	0.0173939	0.129244	0.00678316	0.218549	0.0103547	2.4964e-64	2.36582e-32	1.19987e-13	4	5	1.027542
85000	-25.0044	-54.62026	29.61586	10	8.245945e-05	0.0757423	0.248134	0.0830134	0.184798	0.187298	0.0594462	0.00666581	0.246959	0.0026716	0.0448352	0.00290896	0.143366	0.0141446	0	0	0	4	5	1.299984
86000	-29.79389	-53.24604	23.45216	10	0.7075308	0.0623731	0.239258	0.132933	0.0416908	0.174801	0.174205	0.186543	0.131498	0.00748587	0.187829	0.0468112	0.219266	0.0647655	0.0757975	0.367062	0.927627	2.62951	5	1.669458
87000	-41.35259	-54.4168	13.06421	10	2.725789	0.265425	0.250208	0.210756	0.0812781	0.0360224	0.0568465	0.175715	0.0909889	0.411111	0.1394	0.00974411	0.143249	0.414774	0.366869	0.715119	1.08078	1.83723	5	2.285517
88000	-30.01585	-49.31064	19.29478	2	1.608599	0.068509	0.0399511	0.0991367	0.043688	0.03213	0.0124124	0.0480212	0.00124062	0.120788	0.08362	0.177794	0.203675	0.0997491	0.241622	0.605688	1.05621	2.09648	4	1.030714
89000	-29.75177	-46.85115	17.09937	2	0.4881784	0.0137664	0.174258	0.0682867	0.00293346	0.0159412	0.0935327	0.024688	0.225427	0.261394	0.0352752	0.0195872	0.170942	0.606048	0.0312181	0.244128	0.811472	2.91318	4	1.71208
90000	-28.62912	-46.68912	18.06	2	0.5765851	0.0177538	0.278096	0.0605548	0.272403	0.111443	0.0511367	0.0331105	0.0426465	0.0539572	0.00731576	0.0391079	0.136335	0.416509	0.0483175	0.299004	0.868886	2.78379	4	1.520369
91000	-33.64971	-47.59311	13.9434	2	4.048684	0.0775216	0.23013	0.290123	0.0331074	0.0362121	0.0138732	0.0389166	0.206779	0.0284876	0.0502298	0.013491	0.0187242	0.590541	0.457017	0.776876	1.08439	1.68172	4	1.628136
92000	-20.90271	-50.68393	29.78122	10	0.6797301	0.212423	0.0659352	0.0414552	0.142772	0.131702	0.00137876	0.0091383	0.0558145	0.0733884	0.0712849	0.178648	0.203675	0.183857	0.0698649	0.353807	0.917119	2.65921	5	1.371472
93000	-18.91786	-48.34343	29.42556	10	0.7689853	0.0439928	0.0628362	0.0398994	0.154471	0.117264	0.0649942	0.168288	0.0593441	0.0570186	0.303541	0.190176	0.101635	0.0249164	0.0889442	0.394341	0.947976	2.56874	5	1.388377
94000	-22.39084	-48.71883	26.32798	10	0.3014543	0.0715536	0.0525982	0.00458593	0.0385464	0.0194813	0.0493813	0.0180444	0.155466	0.296214	0.0898613	0.288078	0.0629787	0.0474596	0.00541402	0.105627	0.598237	3.29072	5	1.194249
95000	-35.18501	-51.60791	16.4229	2	0.1032728	0.170895	0.0143302	0.200964	0.029213	0.0188739	0.0017104	0.0542235	0.306208	0.136608	0.416896	0.0423099	0.0991716	0.293018	8.16556e-07	0.00134216	0.102657	3.896	4	1.784422
96000	-36.13562	-49.35331	13.21768	2	1.508638	0.0932166	0.160315	0.0230177	0.408252	0.0739091	0.0299624	0.106921	0.0654468	0.71206	0.0105146	0.0164367	0.175719	0.159711	0.226654	0.589988	1.05092	2.13243	4	2.035483
97000	-14.28466	-50.2176	35.93293	10	0.1744809	0.0968198	0.127435	0.0709247	0.0422759	0.0279338	0.12901	0.030703	0.00701669	0.00959971	0.227732	0.042164	0.0267464	0.0101643	0.000193426	0.0204706	0.313878	3.66546	5	0.8485254
98000	-25.51105	-47.91527	22.40422	10	2.575357	0.0836707	0.17022	0.0620024	0.0907502	0.260998	0.0377165	0.269052	0.152393	0.0058445	0.124749	0.462575	0.0298055	0.145395	0.353487	0.704929	1.07943	1.86215	5	1.895172
99000	-25.49624	-47.6592	22.16296	10	6.513026	0.0074064	0.0927543	0.0879874	0.0876958	0.00583639	0.0513031	0.123446	0.0459444	0.196494	0.0128861	0.0625206	0.169255	0.281342	0.554911	0.83307	1.08009	1.53193	5	1.224871
100000	-31.17324	-48.54117	17.36793	2	0.6644007	0.0567618	0.0523152	0.136379	0.180027	0.00912653	0.0252112	0.0219171	0.123364	0.227558	0.253704	0.21522	0.0378988	0.133933	0.0666066	0.346238	0.910927	2.67623	4	1.473415
101000	-35.88121	-55.32137	19.44017	2	0.03511485	0.161147	0.0749067	0.0384554	0.0839379	0.173996	0.0999614	0.0696143	0.0461131	0.052923	0.140347	0.0447654	0.071794	0.0157696	3.99219e-18	2.98516e-09	0.000463247	3.99954	4	1.073731
