Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
66000	164.5392	-490.2382	654.7774	0.05	0.1732783	0.202711	0.285958	0.000388312	0.0366827	0.0100855	0.0883087	0.0255626	0.0125045	0.173859	0.0212992	0.046694	0.0152548	0.225219	0.0550903	0.329266	0.367155	0.131928	0.0638393	0.0297978	0.000183081	0.0199195	0.310442	3.66946	1	2.121603
67000	150.7527	-491.1305	641.8832	0.05	0.677048	0.162282	0.123987	0.022363	0.0683544	0.163064	0.0666628	0.104632	0.0043207	0.0843543	0.0926621	0.0790668	0.0722802	0.170512	0.259682	0.13499	0.28156	0.152368	0.160483	1.40694	0.069294	0.352496	0.916057	2.66215	1	3.610568
68000	153.2119	-492.3358	645.5477	0.05	0.6366714	0.370045	0.0284147	0.0386841	0.0159354	0.0954286	0.030371	0.118017	0.0188095	0.00730687	0.0241446	0.0330364	0.214455	0.0107341	0.239368	0.45076	0.123643	0.292847	0.130962	0.119202	0.0607489	0.332053	0.898933	2.70826	1	2.362165
69000	154.1576	-493.5086	647.6662	0.05	0.09116055	0.0350678	0.198371	0.0478756	0.000738885	0.123498	0.0390326	0.131851	0.108618	0.0370208	0.00152589	0.0272035	0.160954	0.0468644	0.174059	0.0202531	0.326982	0.0936724	0.721296	0.117049	1.37479e-07	0.000551337	0.0710017	3.92845	1	2.411932
70000	149.2881	-493.1116	642.3997	0.05	0.9199089	0.337392	0.0921298	0.0197106	0.0772389	0.0881902	0.0252326	0.00568516	0.00374938	0.0791222	0.149829	0.0542601	0.221046	0.0344227	0.117895	0.118351	0.142854	0.188234	0.31614	0.46456	0.120709	0.45128	0.985349	2.44266	1	2.536043
71000	173.2653	-492.5432	665.8084	0.05	0.02402286	0.188443	0.1557	0.00576478	0.0320639	0.0211934	0.0750891	0.0332153	0.0193555	0.028042	0.0165511	0.00801749	0.299541	0.0128646	0.0430803	0.0780682	0.00599212	0.108316	0.061708	0.0365077	4.84763e-26	3.29261e-13	1.0563e-05	3.99999	1	1.229514
72000	175.978	-490.5823	666.5603	0.05	0.2507645	0.0479704	0.31052	0.05092	0.0104134	0.0190136	0.0778246	0.0246529	0.339698	0.0204957	0.0496015	0.0249965	0.270799	0.80484	0.205618	0.276623	0.0969059	0.077685	0.190998	0.096951	0.00214758	0.0672427	0.503095	3.42751	1	2.996526
73000	177.6052	-486.1807	663.7859	0.05	1.034752	0.253765	0.0377919	0.00289562	0.0856658	0.0284789	0.157366	0.0561244	0.0179291	0.12059	0.0127747	0.00521724	0.109135	0.178399	0.415321	0.291933	0.0461215	0.201375	0.304847	0.226301	0.143835	0.486954	1.00553	2.36368	1	2.552031
74000	149.5936	-489.849	639.4426	0.05	0.1165793	0.192901	0.138078	0.028767	0.00124343	0.0258905	0.0758304	0.0377404	0.0568171	0.130534	0.0307802	0.00149988	0.0377044	0.160579	0.0722551	0.119376	0.438305	0.0438611	0.656913	0.136533	3.77133e-06	0.00288056	0.140763	3.85635	1	2.385608
75000	147.0266	-491.0302	638.0569	0.05	1.343925	0.181134	0.130206	0.0176363	0.0847356	0.11109	0.0310361	0.00584871	0.055896	0.0763509	0.0499959	0.112787	0.308397	0.109994	0.798241	0.128913	0.368004	0.0917361	0.100637	0.294581	0.200174	0.560333	1.03977	2.19972	1	3.057218
76000	177.8014	-487.6188	665.4202	0.05	0.7238063	0.232822	0.311026	0.0836392	0.0351595	0.0449419	0.0763639	0.000509685	0.130396	0.0468558	0.0428124	0.0144482	0.106282	0.146192	0.378706	0.171233	0.00334586	0.249381	0.773665	0.229948	0.0792788	0.374549	0.933381	2.61279	1	3.077727
77000	186.0041	-489.5576	675.5617	0.05	0.1528117	0.164534	0.147274	0.0229211	0.0022538	0.091251	0.0417749	0.0804566	0.0316914	0.123287	0.048208	0.0158413	0.188475	0.154456	0.194447	0.417838	0.236449	0.296827	0.0466118	0.026415	6.28911e-05	0.0117108	0.25029	3.73794	1	2.331011
