Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
45000	-192.2492	-231.0575	38.80829	10	1.283497	0.521884	0.0498388	0.011568	0.0145881	0.00616667	0.00316909	0.00218496	0.0416046	0.00115674	0.00146612	0.0130993	0.00369554	0.00724345	0.0043213	0.0333249	0.00654444	0.015213	0.0205808	0.318141	0.0201938	0.00210706	0.448032	0.0922257	0.0147674	0.0091685	0.0369031	0.0454987	0.189859	0.548047	1.0347	2.22739	5	1.744686
46000	-197.5707	-237.3938	39.82319	10	2.40791	0.351527	0.0696186	0.00833814	0.0147737	0.00675778	0.0801463	0.00563629	0.0105302	0.00932508	0.0113257	0.00169069	0.0112774	0.00275187	0.00842892	0.0133294	0.0578898	0.0183855	0.0330421	0.019311	0.414368	0.191728	0.0411015	0.00517492	0.0051721	0.0103753	0.0863202	0.0528221	0.337548	0.692392	1.0775	1.89256	5	1.541148
47000	-209.5074	-238.114	28.60667	2	1.944253	0.124781	0.0190498	0.00348575	0.0055579	0.00807688	0.025862	0.0419426	0.0183141	0.00678889	0.00361409	0.0233526	0.00355712	0.00263489	0.0456574	0.0407768	0.0244328	0.0926834	0.00387542	0.0342095	0.0105484	0.0404294	0.0205983	0.640792	0.000952707	0.328845	0.00848346	0.143291	0.286528	0.648952	1.06853	1.99599	4	1.722593
48000	-202.5603	-240.39	37.82966	10	2.936477	0.435761	0.0791526	0.034982	0.00221404	0.00951517	0.0394992	0.00197189	0.00824472	0.00215421	0.00566328	0.00123854	0.00571191	0.00529585	0.0055141	0.0204992	0.300326	0.0151771	0.00982187	0.0179679	0.00120114	0.00954626	0.0358318	0.333808	0.00926476	0.0177544	0.00470812	0.048829	0.384287	0.727949	1.08218	1.80558	5	1.461653
49000	-197.9169	-236.227	38.31006	10	1.657327	0.239935	0.055839	0.00531356	0.000921111	0.0158686	0.0125312	0.0123171	0.00999082	0.00418197	0.00849825	0.0123548	0.0109548	0.00259602	0.00460017	0.00610649	0.511997	0.084	0.0417054	0.0107736	0.0132541	0.265716	0.0238124	0.00366613	0.0162503	0.00799802	0.013656	0.00716445	0.248635	0.612808	1.05846	2.08009	5	1.402002
50000	-187.2538	-228.2481	40.99424	10	2.745235	0.302333	0.0127688	0.00559796	0.00692524	0.00195541	0.025073	0.00378264	0.0109377	0.000356627	0.000331891	0.00641221	3.26633e-05	0.00322538	0.0243559	0.0249179	0.169827	0.0150135	0.0164765	0.0825243	0.00370612	0.00462211	0.413665	0.07482	0.00168143	0.0426823	0.0102364	0.00584077	0.368539	0.71637	1.08093	1.83416	5	1.270103
51000	-195.9937	-232.5676	36.57391	10	1.036619	0.124192	0.0186659	0.00394121	0.0033508	0.00627997	0.0433416	0.0125464	0.0144673	0.00259535	0.021238	0.0371033	0.00368347	0.00153706	0.00121969	0.00257842	0.0613385	0.116073	0.00184321	0.838009	0.0093738	0.00996616	0.146773	0.000196666	0.0253749	0.0120391	0.144322	0.0329253	0.144202	0.487489	1.00581	2.3625	5	1.694976
52000	-183.2249	-229.147	45.92218	10	1.352443	0.34353	0.0684215	0.00265145	0.00203168	0.0157086	0.0240555	0.0187389	0.0044157	0.000788873	0.00564937	0.00301984	0.00831287	0.0010377	0.00758934	0.00434979	0.0432369	0.0114157	0.0676891	0.298076	0.0976372	0.00292778	0.0218008	0.00497844	0.0399527	0.00801596	0.0201874	0.0074985	0.201602	0.561999	1.04044	2.19596	5	1.133718
53000	-199.9434	-229.0202	29.07685	10	2.890823	0.642364	0.00112974	0.00705267	0.00322073	0.00399945	0.0351792	0.00485698	0.0233135	0.0121226	0.0108009	0.00154486	0.0108393	0.00423424	0.00696344	0.0202386	0.000199498	0.0262568	0.00932492	0.593911	0.000345741	0.0842634	0.0255426	0.252947	0.00847515	0.035354	0.0290838	0.0756421	0.380635	0.725298	1.08192	1.81215	5	1.929206
54000	-216.3184	-246.9666	30.64818	10	2.00716	0.048854	0.0080342	0.0200459	0.00733636	0.000491849	0.0552839	0.0968874	0.0154911	0.0195424	0.0187367	0.0129521	0.0172696	0.019484	0.00720887	0.022621	0.00335746	0.0325959	0.00125195	0.0261484	0.0149878	0.0238099	0.0509351	0.852478	0.0391257	0.00314984	0.0381156	0.196687	0.294128	0.655773	1.07017	1.97993	5	1.652882
